route,document,title,status,ownership
/app/decisions/biblioteka-dzialan,18-wsparcie-marketingowe-decyzje-dzialania/80-08-biblioteka-dzialan.md,Biblioteka działań,target,canonical-runtime
/app/decisions/brief-dzialania,18-wsparcie-marketingowe-decyzje-dzialania/80-05-brief-dzialania.md,Brief działania,target,canonical-runtime
/app/decisions/centrum-decyzji,18-wsparcie-marketingowe-decyzje-dzialania/80-01-centrum-decyzji.md,Centrum decyzji,target,canonical-runtime
/app/decisions/obserwacje,18-wsparcie-marketingowe-decyzje-dzialania/80-02-obserwacje.md,Obserwacje,target,canonical-runtime
/app/decisions/pomiar,18-wsparcie-marketingowe-decyzje-dzialania/80-07-pomiar.md,Pomiar,target,canonical-runtime
/app/decisions/powiazania-z-modulami-i-sprawami,18-wsparcie-marketingowe-decyzje-dzialania/80-09-powiazania-z-modulami-i-sprawami.md,Powiązania z modułami i sprawami,target,canonical-runtime
/app/decisions/rejestr-decyzji,18-wsparcie-marketingowe-decyzje-dzialania/80-04-rejestr-decyzji.md,Rejestr decyzji,target,canonical-runtime
/app/decisions/rekomendacje,18-wsparcie-marketingowe-decyzje-dzialania/80-03-rekomendacje.md,Rekomendacje,target,canonical-runtime
/app/decisions/szczegoly-dzialania/:resourceId,18-wsparcie-marketingowe-decyzje-dzialania/80-06-szczegoly-dzialania.md,Szczegóły działania,target,canonical-runtime
/app/help/lista-wynikow,19-centrum-pomocy/85-03-lista-wynikow.md,Lista wyników,target,canonical-runtime
/app/help/procedury/:resourceId,19-centrum-pomocy/85-02-procedury.md,Procedury,target,canonical-runtime
/app/help/strona-glowna-pomocy,19-centrum-pomocy/85-01-strona-glowna-pomocy.md,Strona główna pomocy,target,canonical-runtime
/app/help/szczegoly-procedury/:resourceId,19-centrum-pomocy/85-04-szczegoly-procedury.md,Szczegóły procedury,target,canonical-runtime
/app/help/zgloszenie-wsparcia/:resourceId,19-centrum-pomocy/85-05-zgloszenie-wsparcia.md,Zgłoszenie wsparcia,target,canonical-runtime
/app/integrations/awaria-providera,13-integracje-i-synchronizacja/40-09-awaria-providera.md,Awaria providera,target,canonical-runtime
/app/integrations/historia-synchronizacji,13-integracje-i-synchronizacja/40-04-historia-synchronizacji.md,Historia synchronizacji,target,canonical-runtime
/app/integrations/katalog-integracji,13-integracje-i-synchronizacja/40-01-katalog-integracji.md,Katalog integracji,target,canonical-runtime
/app/integrations/kreator-polaczenia,13-integracje-i-synchronizacja/40-02-kreator-polaczenia.md,Kreator połączenia,target,canonical-runtime
/app/integrations/odlaczenie,13-integracje-i-synchronizacja/40-08-odlaczenie.md,Odłączenie,target,canonical-runtime
/app/integrations/ponowne-polaczenie,13-integracje-i-synchronizacja/40-07-ponowne-polaczenie.md,Ponowne połączenie,target,canonical-runtime
/app/integrations/przebieg-synchronizacji,13-integracje-i-synchronizacja/40-05-przebieg-synchronizacji.md,Przebieg synchronizacji,target,canonical-runtime
/app/integrations/szczegoly-integracji/:resourceId,13-integracje-i-synchronizacja/40-03-szczegoly-integracji.md,Szczegóły integracji,target,canonical-runtime
/app/integrations/zakres-synchronizacji,13-integracje-i-synchronizacja/40-06-zakres-synchronizacji.md,Zakres synchronizacji,target,canonical-runtime
/app/orders/eksport,09-zamowienia/32-07-eksport.md,Eksport,target,canonical-runtime
/app/orders/lista,09-zamowienia/32-02-lista.md,Lista,target,canonical-runtime
/app/orders/os-zdarzen,09-zamowienia/32-04-os-zdarzen.md,Oś zdarzeń,target,canonical-runtime
/app/orders/porownanie-zrodel,09-zamowienia/32-05-porownanie-zrodel.md,Porównanie źródeł,target,canonical-runtime
/app/orders/przeglad,09-zamowienia/32-01-przeglad.md,Przegląd,target,canonical-runtime
/app/orders/rekoncyliacja-skrot,09-zamowienia/32-06-rekoncyliacja-skrot.md,Rekoncyliacja — skrót,target,canonical-runtime
/app/orders/szczegoly/:resourceId,09-zamowienia/32-03-szczegoly.md,Szczegóły,target,canonical-runtime
/app/papa/ai-action-approval,15-papa-asystent-i-laboratorium-ai/50-12-ai-action-approval.md,AI Action Approval,target,canonical-runtime
/app/papa/ai-actions,15-papa-asystent-i-laboratorium-ai/50-13-ai-actions.md,AI Actions,target,canonical-runtime
/app/papa/assistantshell,15-papa-asystent-i-laboratorium-ai/50-02-assistantshell.md,AssistantShell,target,canonical-runtime
/app/papa/context-basket,15-papa-asystent-i-laboratorium-ai/50-04-context-basket.md,Context basket,target,canonical-runtime
/app/papa/dowody,15-papa-asystent-i-laboratorium-ai/50-06-dowody.md,Dowody,target,canonical-runtime
/app/papa/historia-i-pamiec-papa,15-papa-asystent-i-laboratorium-ai/50-15-historia-i-pamiec-papa.md,Historia i pamięć Papa,target,canonical-runtime
/app/papa/laboratorium-ai,15-papa-asystent-i-laboratorium-ai/50-08-laboratorium-ai.md,Laboratorium AI,target,canonical-runtime
/app/papa/obserwacje,15-papa-asystent-i-laboratorium-ai/50-09-obserwacje.md,Obserwacje,target,canonical-runtime
/app/papa/odpowiedz-papa,15-papa-asystent-i-laboratorium-ai/50-05-odpowiedz-papa.md,Odpowiedź Papa,target,canonical-runtime
/app/papa/panel-kontekstowy-papa,15-papa-asystent-i-laboratorium-ai/50-01-panel-kontekstowy-papa.md,Panel kontekstowy Papa,target,canonical-runtime
/app/papa/propozycje-ai,15-papa-asystent-i-laboratorium-ai/50-11-propozycje-ai.md,Propozycje AI,target,canonical-runtime
/app/papa/ustawienia-ai-i-governance,15-papa-asystent-i-laboratorium-ai/50-16-ustawienia-ai-i-governance.md,Ustawienia AI i Governance,target,canonical-runtime
/app/products/analiza-wplywu,10-produkty/33-08-analiza-wplywu.md,Analiza wpływu,target,canonical-runtime
/app/products/katalog,10-produkty/33-02-katalog.md,Katalog,target,canonical-runtime
/app/products/kolejka-brakow,10-produkty/33-07-kolejka-brakow.md,Kolejka braków,target,canonical-runtime
/app/products/mapowanie,10-produkty/33-04-mapowanie.md,Mapowanie,target,canonical-runtime
/app/products/oferty,10-produkty/33-05-oferty.md,Oferty,target,canonical-runtime
/app/products/przeglad,10-produkty/33-01-przeglad.md,Przegląd,target,canonical-runtime
/app/products/szczegoly/:resourceId,10-produkty/33-03-szczegoly.md,Szczegóły,target,canonical-runtime
/app/products/wydajnosc,10-produkty/33-06-wydajnosc.md,Wydajność,target,canonical-runtime
/app/settings/audyt,16-ustawienia-zespol-bezpieczenstwo/60-07-audyt.md,Audyt,target,canonical-runtime
/app/settings/bezpieczenstwo-konta,16-ustawienia-zespol-bezpieczenstwo/60-05-bezpieczenstwo-konta.md,Bezpieczeństwo konta,target,canonical-runtime
/app/settings/czlonkostwa,16-ustawienia-zespol-bezpieczenstwo/60-03-czlonkostwa.md,Członkostwa,target,canonical-runtime
/app/settings/dostep-wsparcia,16-ustawienia-zespol-bezpieczenstwo/60-09-dostep-wsparcia.md,Dostęp wsparcia,target,canonical-runtime
/app/settings/organizacja,16-ustawienia-zespol-bezpieczenstwo/60-01-organizacja.md,Organizacja,target,canonical-runtime
/app/settings/prywatnosc,16-ustawienia-zespol-bezpieczenstwo/60-08-prywatnosc.md,Prywatność,target,canonical-runtime
/app/settings/role-i-uprawnienia,16-ustawienia-zespol-bezpieczenstwo/60-04-role-i-uprawnienia.md,Role i uprawnienia,target,canonical-runtime
/app/settings/sesje,16-ustawienia-zespol-bezpieczenstwo/60-06-sesje.md,Sesje,target,canonical-runtime
/app/settings/workspace,16-ustawienia-zespol-bezpieczenstwo/60-02-workspace.md,Workspace,target,canonical-runtime
/app/traffic/definicje-lejka,12-ruch-i-lejek/35-05-definicje-lejka.md,Definicje lejka,target,canonical-runtime
/app/traffic/ga4-vs-zamowienia,12-ruch-i-lejek/35-06-ga4-vs-zamowienia.md,GA4 vs zamówienia,target,canonical-runtime
/app/traffic/jakosc-zdarzen,12-ruch-i-lejek/35-07-jakosc-zdarzen.md,Jakość zdarzeń,target,canonical-runtime
/app/traffic/kanaly,12-ruch-i-lejek/35-02-kanaly.md,Kanały,target,canonical-runtime
/app/traffic/lejek-szczegoly-kroku/:resourceId,12-ruch-i-lejek/35-04-lejek-szczegoly-kroku.md,Lejek — szczegóły kroku,target,canonical-runtime
/app/traffic/lejek-widok,12-ruch-i-lejek/35-03-lejek-widok.md,Lejek — widok,target,canonical-runtime
/app/traffic/przeglad-ruchu,12-ruch-i-lejek/35-01-przeglad-ruchu.md,Przegląd ruchu,target,canonical-runtime
/app/traffic/strony-wejscia,12-ruch-i-lejek/35-08-strony-wejscia.md,Strony wejścia,target,canonical-runtime
