path,title,words,sha256
02-tla-i-powierzchnie/05-02-tlo-aplikacji.md,Tło aplikacji,275,74f3400afc113b20e4c1076a3db38c6463611fe86b12582c78421e471505343f
02-tla-i-powierzchnie/05-03-powierzchnie-danych.md,Powierzchnie danych,273,2689f541804e23235f4ffccffb3d9322e6a7ecb990ede4b69af29a610502fabe
02-tla-i-powierzchnie/05-04-separatory-i-obramowania.md,Separatory i obramowania,265,7e45439c94a7ae40eebb51890a29f87e2224476ffab00227b4c6784b911402f8
02-tla-i-powierzchnie/05-05-gradienty-swiatlo-i-szklo.md,"Gradienty, światło i szkło",276,e4469e23a347b0cb15a9d37a8f20fd8c1300137824a7f876fe9c8700eeabb222
03-dostep-rejestracja-onboarding/auth-fsm-wykonawczy.md,Auth FSM — model wykonawczy 1.0 po audycie,791,89a35f0d13b0a2b3a2d238a1e9b3efac17756baa510f3e80edce2b24460a72d4
03-dostep-rejestracja-onboarding/auth-statechart-1.0.md,Auth statechart 1.0,571,43ed5a06ba08da1b162b7aca6b26041297aedf511648ee54c000475a299c15a3
03-dostep-rejestracja-onboarding/katalogi/25-01-wejscie-do-auth.md,Wejście do Auth — katalog procesu,208,2fb0ad1a4f8942cb9e39be4886267168f386464372998611618a9b8e9504609e
03-dostep-rejestracja-onboarding/katalogi/25-02-logowanie.md,Logowanie — katalog procesu,282,63500d4e5f72c7fb1aa85998c975a7c5382c3d68438aad951395d457439d442a
03-dostep-rejestracja-onboarding/katalogi/25-03-rejestracja.md,Rejestracja — katalog procesu,279,1587ca9ef7c32d8934157d6e33a5fd9d19b39cea552225004b338def8850c488
03-dostep-rejestracja-onboarding/katalogi/25-04-zaproszenie.md,Zaproszenie — katalog procesu,197,c0904e60c539531b6636b1135c9b30de8115fedd2b6d2c33f2710492fb72c67f
03-dostep-rejestracja-onboarding/katalogi/25-05-weryfikacja-e-mail.md,Weryfikacja e-mail — katalog procesu,211,a0f2d6a88e64e84dfc2c0cce7d030c00c4f6d3ae94cc2bf523c50fd23cc3a4bc
03-dostep-rejestracja-onboarding/katalogi/25-06-identyfikacja-firmy.md,Identyfikacja firmy — katalog procesu,272,165fbcdfe58169e5baa7e77e9e9b2234e5334763d45eead74369e21c1ec30687
03-dostep-rejestracja-onboarding/katalogi/25-07-mfa.md,MFA — katalog procesu,211,ac6f5b665786c677536cb70cc7b5f761728d2e749bc1367a1733a2f0ae39facd
03-dostep-rejestracja-onboarding/katalogi/25-08-odzyskiwanie-dostepu.md,Odzyskiwanie dostępu — katalog procesu,244,3d8fb33a826fc36b5b8f92ad50b24265b36f61de2a9d0fc929ea9b1d00edad5a
03-dostep-rejestracja-onboarding/katalogi/25-09-rozwiazanie-kontekstu-dostepu.md,Rozwiązanie kontekstu dostępu — katalog procesu,270,dd29a356d0e700eb7572c4c69326413048c6d395425da9e4c62a43ef9e475610
03-dostep-rejestracja-onboarding/katalogi/25-10-onboarding.md,Onboarding — katalog procesu,223,8f95cba45b743e82c6c17f5cf869337636c0571693fd47f32fe0f93ff7df97e4
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-01-wejscie-do-auth.md,Wejście do Auth,364,6842f00357200fff01c8bce5db8a06c7f9b42e269a316f98c615e676b12b3a15
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,Logowanie,353,718462a54ee85988d7f5d4dc88755baffd14db1331652a89841166634ec46743
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-03-wejscie-do-rejestracji.md,Wejście do rejestracji,328,1c83d539e170eb4a1e663b6d2723d43a1d4cc6db668c4d8c175df99f6b27b992
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-04-rejestracja-adresem-e-mail.md,Rejestracja adresem e-mail,371,a6b6d5381d7ad1b2a0ab6d0535b10921c10fbb6cdc33810c4c47cbc29a0053cc
